occupation,location,income,welfare,working_experience,education,industry,section,scale,category
CFO,贵州,27,TRUE,5年以上,本科,专业服务,未融资,100以下,商务与管理类
CFO,北京,42,FALSE,5年以上,研究生,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,北京,99,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,500以上,商务与管理类
CFO,四川,39,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,100以下,商务与管理类
CFO,湖北,30,TRUE,3-5年,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,广东,26.4,FALSE,3-5年,本科,金融,未知,100以下,商务与管理类
CFO,北京,90,TRUE,5年以上,研究生,互联网/IT/电子/通信,D轮及以上,100以下,商务与管理类
CFO,四川,45.5,FALSE,5年以上,研究生,广告/传媒/文化/体育,天使轮,100以下,商务与管理类
CFO,北京,78,TRUE,5年以上,研究生,互联网/IT/电子/通信,B轮,100-499,商务与管理类
CFO,北京,126,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,江苏,252,FALSE,5年以上,研究生,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,山东,78,TRUE,5年以上,研究生,能源/化工/环保,不需要融资,100以下,商务与管理类
CFO,山东,31.8,TRUE,3-5年,本科,政府/非盈利机构/其他,未融资,100以下,商务与管理类
CFO,上海,168,FALSE,5年以上,研究生,广告/传媒/文化/体育,未知,100以下,商务与管理类
CFO,北京,180,TRUE,5年以上,研究生,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,广东,30,TRUE,5年以上,本科,汽车,未融资,100以下,商务与管理类
CFO,云南,35.4,FALSE,5年以上,本科,房地产/建筑,未知,100-499,商务与管理类
CFO,湖北,25.8,TRUE,5年以上,本科,交通/物流/贸易/零售,未融资,100以下,商务与管理类
CFO,江苏,36,TRUE,5年以上,本科,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,上海,48,TRUE,5年以上,本科,广告/传媒/文化/体育,天使轮,100-499,商务与管理类
CFO,江苏,10.2,FALSE,3-5年,本科,交通/物流/贸易/零售,未知,100以下,商务与管理类
CFO,湖南,12.6,FALSE,经验不限,本科,教育培训,未融资,100以下,商务与管理类
CFO,四川,33,TRUE,5年以上,本科,汽车,A轮,100-499,商务与管理类
CFO,安徽,10.8,FALSE,1-3年,本科,服务业,未融资,100以下,商务与管理类
CFO,江苏,18,FALSE,5年以上,本科,教育培训,未知,100-499,商务与管理类
CFO,北京,81,TRUE,5年以上,本科,金融,未融资,100以下,商务与管理类
CFO,浙江,15,FALSE,5年以上,本科,教育培训,未知,100以下,商务与管理类
CFO,广东,22.75,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,山东,45,TRUE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,山东,18.6,TRUE,3-5年,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,陕西,78,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,500以上,商务与管理类
CFO,上海,150,TRUE,经验不限,学历不限,专业服务,B轮,100以下,商务与管理类
CFO,北京,250,TRUE,5年以上,研究生,广告/传媒/文化/体育,不需要融资,100-499,商务与管理类
CFO,内蒙古,15,FALSE,5年以上,本科,能源/化工/环保,未融资,100-499,商务与管理类
CFO,辽宁,75,TRUE,5年以上,本科,消费品,未融资,100以下,商务与管理类
CFO,未知,30,TRUE,5年以上,本科,专业服务,未融资,100以下,商务与管理类
CFO,北京,98,TRUE,5年以上,本科,互联网/IT/电子/通信,已上市,100-499,商务与管理类
CFO,上海,175,FALSE,5年以上,本科,专业服务,未知,100以下,商务与管理类
CFO,浙江,27,FALSE,经验不限,学历不限,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,新疆,15,FALSE,5年以上,本科,互联网/IT/电子/通信,A轮,100以下,商务与管理类
CFO,山东,54,TRUE,5年以上,研究生,机械/制造,未融资,100以下,商务与管理类
CFO,广东,306,FALSE,5年以上,研究生,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,北京,78,TRUE,3-5年,本科,交通/物流/贸易/零售,B轮,500以上,商务与管理类
CFO,辽宁,24.6,FALSE,5年以上,本科,房地产/建筑,未知,100以下,商务与管理类
CFO,山东,39,TRUE,5年以上,本科,交通/物流/贸易/零售,不需要融资,500以上,商务与管理类
CFO,山东,9.75,TRUE,3-5年,本科,房地产/建筑,未融资,100以下,商务与管理类
CFO,北京,110.5,TRUE,5年以上,本科,互联网/IT/电子/通信,已上市,100-499,商务与管理类
CFO,四川,24.6,FALSE,3-5年,本科,服务业,未知,100以下,商务与管理类
CFO,浙江,84.5,TRUE,5年以上,本科,汽车,不需要融资,500以上,商务与管理类
CFO,深圳,45,TRUE,5年以上,本科,交通/物流/贸易/零售,未融资,100-499,商务与管理类
CFO,上海,38.4,FALSE,5年以上,本科,房地产/建筑,未知,100以下,商务与管理类
CFO,江苏,180,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,500以上,商务与管理类
CFO,辽宁,21,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,安徽,48,TRUE,5年以上,研究生,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,114,FALSE,5年以上,本科,专业服务,未知,100-499,商务与管理类
CFO,北京,72,FALSE,5年以上,本科,互联网/IT/电子/通信,不需要融资,500以上,商务与管理类
CFO,北京,71.25,TRUE,5年以上,研究生,互联网/IT/电子/通信,已上市,100-499,商务与管理类
CFO,江苏,54,TRUE,5年以上,研究生,互联网/IT/电子/通信,D轮及以上,100-499,商务与管理类
CFO,上海,19.2,FALSE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,39,TRUE,5年以上,研究生,互联网/IT/电子/通信,不需要融资,100以下,商务与管理类
CFO,未知,162,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,福建,32.5,FALSE,5年以上,本科,交通/物流/贸易/零售,未知,100以下,商务与管理类
CFO,上海,70,TRUE,5年以上,研究生,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,上海,45,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,100以下,商务与管理类
CFO,北京,54,TRUE,5年以上,本科,专业服务,未知,100-499,商务与管理类
CFO,上海,72,TRUE,5年以上,研究生,互联网/IT/电子/通信,不需要融资,100以下,商务与管理类
CFO,四川,30,FALSE,5年以上,研究生,服务业,未知,100以下,商务与管理类
CFO,青海,45.5,TRUE,3-5年,本科,能源/化工/环保,未融资,100-499,商务与管理类
CFO,湖南,12.6,TRUE,经验不限,本科,政府/非盈利机构/其他,未融资,100以下,商务与管理类
CFO,北京,54,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,北京,96,FALSE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,上海,52,TRUE,1-3年,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,陕西,45,FALSE,5年以上,研究生,能源/化工/环保,未知,100-499,商务与管理类
CFO,上海,30,TRUE,5年以上,研究生,交通/物流/贸易/零售,已上市,100-499,商务与管理类
CFO,湖北,63,TRUE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,江苏,105,TRUE,3-5年,本科,机械/制造,天使轮,100以下,商务与管理类
CFO,北京,54,FALSE,5年以上,研究生,制药/医疗,天使轮,100-499,商务与管理类
CFO,上海,24.6,TRUE,5年以上,研究生,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,北京,52,FALSE,经验不限,本科,互联网/IT/电子/通信,未知,100-499,商务与管理类
CFO,北京,60,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,24.6,FALSE,经验不限,研究生,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,北京,150,TRUE,5年以上,本科,互联网/IT/电子/通信,已上市,500以上,商务与管理类
CFO,深圳,78,TRUE,5年以上,本科,消费品,未融资,500以上,商务与管理类
CFO,北京,24.6,FALSE,1-3年,本科,服务业,未知,100以下,商务与管理类
CFO,山东,19.2,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,上海,36,TRUE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,上海,72,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,上海,39,TRUE,5年以上,本科,金融,不需要融资,100以下,商务与管理类
CFO,广西,54,FALSE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,浙江,180,TRUE,5年以上,本科,能源/化工/环保,未融资,500以上,商务与管理类
CFO,安徽,21.6,TRUE,5年以上,本科,服务业,未融资,100-499,商务与管理类
CFO,陕西,10.2,TRUE,3-5年,本科,交通/物流/贸易/零售,不需要融资,100以下,商务与管理类
CFO,广东,84.5,FALSE,5年以上,本科,交通/物流/贸易/零售,未知,100-499,商务与管理类
CFO,四川,36,FALSE,5年以上,本科,互联网/IT/电子/通信,不需要融资,500以上,商务与管理类
CFO,河南,9.6,FALSE,5年以上,本科,交通/物流/贸易/零售,不需要融资,100-499,商务与管理类
CFO,上海,60,TRUE,5年以上,本科,互联网/IT/电子/通信,B轮,100-499,商务与管理类
CFO,浙江,84.5,TRUE,5年以上,本科,汽车,B轮,100-499,商务与管理类
CFO,北京,57,TRUE,5年以上,本科,互联网/IT/电子/通信,C轮,100-499,商务与管理类
CFO,甘肃,15,FALSE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100以下,商务与管理类
CFO,北京,45,TRUE,5年以上,本科,金融,不需要融资,100以下,商务与管理类
CFO,浙江,36,TRUE,5年以上,本科,房地产/建筑,未融资,100-499,商务与管理类
CFO,浙江,68.25,TRUE,5年以上,本科,互联网/IT/电子/通信,A轮,100-499,商务与管理类
CFO,陕西,21,FALSE,3-5年,大专,专业服务,不需要融资,100以下,商务与管理类
CFO,山东,3.6,FALSE,经验不限,研究生,互联网/IT/电子/通信,不需要融资,100以下,商务与管理类
CFO,未知,22.75,FALSE,5年以上,大专,教育培训,未知,100-499,商务与管理类
CFO,山东,6.6,TRUE,5年以上,大专,交通/物流/贸易/零售,未融资,100以下,商务与管理类
CFO,贵州,36,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,浙江,31.5,TRUE,1-3年,本科,金融,未融资,100-499,商务与管理类
CFO,辽宁,15.6,FALSE,5年以上,本科,专业服务,未知,100以下,商务与管理类
CFO,贵州,24,FALSE,3-5年,本科,服务业,未融资,100-499,商务与管理类
CFO,湖南,16.2,FALSE,3-5年,本科,交通/物流/贸易/零售,不需要融资,500以上,商务与管理类
CFO,山东,9,TRUE,5年以上,本科,机械/制造,天使轮,100以下,商务与管理类
CFO,广东,39,FALSE,5年以上,本科,专业服务,未知,100以下,商务与管理类
CFO,河南,78,FALSE,5年以上,本科,消费品,未知,500以上,商务与管理类
CFO,河南,12.6,FALSE,5年以上,本科,消费品,未融资,100以下,商务与管理类
CFO,未知,7.8,FALSE,5年以上,大专,专业服务,未知,100以下,商务与管理类
CFO,内蒙古,15,TRUE,1-3年,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,天津,27,FALSE,3-5年,研究生,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,浙江,48,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,河北,15,FALSE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,山东,5.4,FALSE,3-5年,本科,交通/物流/贸易/零售,未知,100以下,商务与管理类
CFO,重庆,54,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,山东,15,TRUE,3-5年,大专,能源/化工/环保,不需要融资,100-499,商务与管理类
CFO,湖北,32.5,TRUE,5年以上,本科,制药/医疗,A轮,100以下,商务与管理类
CFO,河北,12,FALSE,3-5年,本科,能源/化工/环保,未知,100-499,商务与管理类
CFO,吉林,27,TRUE,3-5年,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,青海,22.75,FALSE,5年以上,本科,房地产/建筑,未融资,100以下,商务与管理类
CFO,上海,33,TRUE,5年以上,本科,机械/制造,不需要融资,100-499,商务与管理类
CFO,辽宁,16.8,TRUE,5年以上,大专,教育培训,B轮,500以上,商务与管理类
CFO,山东,21.45,FALSE,经验不限,本科,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,江苏,48.75,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,未知,63,FALSE,3-5年,本科,消费品,未知,100以下,商务与管理类
CFO,未知,30,FALSE,3-5年,本科,政府/非盈利机构/其他,未知,100以下,商务与管理类
CFO,吉林,10.2,TRUE,5年以上,大专,消费品,不需要融资,100-499,商务与管理类
CFO,河南,9,TRUE,5年以上,本科,专业服务,未融资,100以下,商务与管理类
CFO,河南,30.1,TRUE,3-5年,本科,教育培训,未融资,500以上,商务与管理类
CFO,云南,36,FALSE,5年以上,研究生,消费品,未知,100以下,商务与管理类
CFO,广东,16.2,TRUE,5年以上,大专,制药/医疗,未知,100-499,商务与管理类
CFO,山东,30,FALSE,5年以上,本科,广告/传媒/文化/体育,未知,100以下,商务与管理类
CFO,北京,56,TRUE,5年以上,本科,互联网/IT/电子/通信,A轮,100以下,商务与管理类
CFO,河北,15,TRUE,3-5年,大专,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,北京,29.25,TRUE,5年以上,本科,互联网/IT/电子/通信,D轮及以上,100以下,商务与管理类
CFO,浙江,22.4,FALSE,5年以上,本科,交通/物流/贸易/零售,未知,100以下,商务与管理类
CFO,陕西,24,FALSE,5年以上,本科,互联网/IT/电子/通信,未知,100-499,商务与管理类
CFO,北京,39,TRUE,5年以上,本科,广告/传媒/文化/体育,未融资,100以下,商务与管理类
CFO,江苏,6.6,TRUE,3-5年,本科,教育培训,D轮及以上,100-499,商务与管理类
CFO,江苏,33,TRUE,5年以上,本科,专业服务,A轮,100-499,商务与管理类
CFO,安徽,36,TRUE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100-499,商务与管理类
CFO,上海,12.6,FALSE,3-5年,本科,教育培训,未融资,100以下,商务与管理类
CFO,江苏,42,TRUE,5年以上,本科,消费品,未融资,100-499,商务与管理类
CFO,湖南,36,TRUE,5年以上,本科,服务业,D轮及以上,500以上,商务与管理类
CFO,辽宁,15.6,FALSE,3-5年,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,深圳,42,FALSE,5年以上,本科,互联网/IT/电子/通信,未融资,500以上,商务与管理类
CFO,广东,24.6,FALSE,5年以上,大专,互联网/IT/电子/通信,未知,100以下,商务与管理类
CFO,浙江,27,FALSE,3-5年,学历不限,机械/制造,不需要融资,100以下,商务与管理类
CFO,江苏,27,TRUE,5年以上,本科,金融,B轮,100以下,商务与管理类
CFO,上海,39,TRUE,5年以上,本科,金融,未融资,100以下,商务与管理类
CFO,山东,27,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,广东,27.3,FALSE,5年以上,本科,互联网/IT/电子/通信,不需要融资,100以下,商务与管理类
CFO,山西,10.2,FALSE,5年以上,本科,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,广东,10.2,TRUE,5年以上,本科,交通/物流/贸易/零售,未融资,100-499,商务与管理类
CFO,深圳,31.8,FALSE,5年以上,研究生,消费品,不需要融资,100-499,商务与管理类
CFO,深圳,60,TRUE,5年以上,本科,互联网/IT/电子/通信,未融资,500以上,商务与管理类
CFO,江苏,15,TRUE,5年以上,学历不限,互联网/IT/电子/通信,未融资,100以下,商务与管理类
CFO,福建,19.2,TRUE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,湖南,54,FALSE,5年以上,本科,消费品,未知,100以下,商务与管理类
CFO,福建,16.25,FALSE,5年以上,本科,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,广东,54,TRUE,5年以上,本科,消费品,未融资,500以上,商务与管理类
CFO,江苏,72,FALSE,5年以上,研究生,互联网/IT/电子/通信,未融资,100-499,商务与管理类
CFO,江苏,9,TRUE,5年以上,本科,服务业,未融资,100-499,商务与管理类
CFO,山东,60,TRUE,3-5年,研究生,互联网/IT/电子/通信,天使轮,100以下,商务与管理类
CFO,广东,19.8,TRUE,5年以上,本科,能源/化工/环保,未融资,100以下,商务与管理类
CFO,云南,36,TRUE,5年以上,本科,金融,不需要融资,100以下,商务与管理类
操作工人,未知,6.6,FALSE,经验不限,学历不限,房地产/建筑,未知,100以下,其他职业类
操作工人,青海,6.36,TRUE,经验不限,高中及以下,制药/医疗,不需要融资,100以下,其他职业类
操作工人,山东,6.6,FALSE,经验不限,学历不限,机械/制造,未知,100以下,其他职业类
操作工人,甘肃,5.4,FALSE,经验不限,学历不限,机械/制造,未知,100以下,其他职业类
操作工人,未知,5.4,TRUE,经验不限,高中及以下,互联网/IT/电子/通信,不需要融资,500以上,其他职业类
操作工人,山东,6.6,FALSE,经验不限,学历不限,机械/制造,未知,100以下,其他职业类
操作工人,山东,6.6,FALSE,经验不限,学历不限,政府/非盈利机构/其他,不需要融资,100以下,其他职业类
操作工人,山东,6.6,TRUE,经验不限,学历不限,政府/非盈利机构/其他,未融资,100-499,其他职业类
操作工人,山东,8.4,FALSE,1-3年,学历不限,机械/制造,未知,100-499,其他职业类
操作工人,辽宁,6,TRUE,经验不限,高中及以下,消费品,未融资,100以下,其他职业类
操作工人,吉林,4.2,TRUE,1-3年,学历不限,服务业,不需要融资,100以下,其他职业类
操作工人,山东,5.4,FALSE,1-3年,学历不限,能源/化工/环保,未知,100以下,其他职业类
操作工人,广东,6.6,FALSE,经验不限,学历不限,机械/制造,不需要融资,100-499,其他职业类
操作工人,河北,5.4,FALSE,经验不限,学历不限,机械/制造,未知,100以下,其他职业类
操作工人,贵州,6,FALSE,1-3年,学历不限,房地产/建筑,未知,100以下,其他职业类
操作工人,广东,6.6,TRUE,经验不限,学历不限,机械/制造,未融资,100以下,其他职业类
操作工人,湖南,6,TRUE,1-3年,高中及以下,机械/制造,不需要融资,100-499,其他职业类
餐饮服务,辽宁,7.2,TRUE,经验不限,学历不限,服务业,未融资,100-499,服务与支持类
