"","职位","位置","年薪","福利","已有工作经验","学历","公司行业","融资阶段","公司规模","职业类别","log_salary","log_年薪"
"33","CFO","东北地区",36,FALSE,"3-5年","研究生","金融互联网","未知","100以下","商务与工程类",3.58351893845611,3.58351893845611
"34","CFO","东北地区",234,FALSE,"1年以内","本科","金融互联网","准备融资","100以下","商务与工程类",5.4553211153577,5.4553211153577
"35","CFO","东部地区",150,TRUE,"5年以上","本科","金融互联网","准备融资","100-499","商务与工程类",5.01063529409626,5.01063529409626
"36","CFO","东北地区",12.6,TRUE,"3-5年","本科","金融互联网","准备融资","100以下","商务与工程类",2.53369681395743,2.53369681395743
"37","CFO","东部地区",16.2,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",2.78501124223834,2.78501124223834
"38","CFO","东部地区",15,TRUE,"5年以上","本科","公共服务","准备融资","100-499","商务与工程类",2.70805020110221,2.70805020110221
"39","CFO","东部地区",12,TRUE,"1-3年","大专","公共服务","正在融资","500以上","商务与工程类",2.484906649788,2.484906649788
"40","CFO","东部地区",102,TRUE,"5年以上","研究生","公共服务","正在融资","500以上","商务与工程类",4.62497281328427,4.62497281328427
"41","CFO","南部地区",29.4,TRUE,"3-5年","本科","金融互联网","不需要融资","100以下","商务与工程类",3.38099467434464,3.38099467434464
"42","CFO","东部地区",54,TRUE,"5年以上","研究生","金融互联网","准备融资","100-499","商务与工程类",3.98898404656427,3.98898404656427
"43","CFO","东部地区",6.6,FALSE,"3-5年","大专","商业服务","正在融资","100-499","商务与工程类",1.88706964903238,1.88706964903238
"44","CFO","中部地区",24,FALSE,"5年以上","本科","金融互联网","未知","100-499","商务与工程类",3.17805383034795,3.17805383034795
"45","CFO","东部地区",60,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",4.0943445622221,4.0943445622221
"46","CFO","东部地区",152,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",5.02388052084628,5.02388052084628
"47","CFO","东部地区",90,TRUE,"5年以上","研究生","媒体教培","准备融资","100以下","商务与工程类",4.49980967033027,4.49980967033027
"48","CFO","西部地区",15,TRUE,"经验不限","本科","机械制造","准备融资","100以下","商务与工程类",2.70805020110221,2.70805020110221
"49","CFO","西部地区",10.2,TRUE,"5年以上","本科","商业服务","准备融资","100以下","商务与工程类",2.32238772029023,2.32238772029023
"50","CFO","东部地区",39,FALSE,"3-5年","本科","媒体教培","未知","100以下","商务与工程类",3.66356164612965,3.66356164612965
"51","CFO","东部地区",15.75,FALSE,"3-5年","本科","金融互联网","未知","100以下","商务与工程类",2.75684036527164,2.75684036527164
"52","CFO","东部地区",65,TRUE,"5年以上","本科","金融互联网","正在融资","500以上","商务与工程类",4.17438726989564,4.17438726989564
"53","CFO","东部地区",36,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",3.58351893845611,3.58351893845611
"54","CFO","南部地区",54,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",3.98898404656427,3.98898404656427
"55","CFO","东部地区",82.5,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",4.41279829334063,4.41279829334063
"56","CFO","东部地区",54,FALSE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",3.98898404656427,3.98898404656427
"57","CFO","南部地区",27,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",3.29583686600433,3.29583686600433
"58","CFO","东部地区",12.6,FALSE,"1-3年","研究生","机械制造","未知","100以下","商务与工程类",2.53369681395743,2.53369681395743
"59","CFO","东部地区",48,TRUE,"5年以上","本科","公共服务","已上市","100-499","商务与工程类",3.87120101090789,3.87120101090789
"60","CFO","东部地区",48,TRUE,"5年以上","本科","商业服务","不需要融资","100-499","商务与工程类",3.87120101090789,3.87120101090789
"61","CFO","东部地区",27,TRUE,"5年以上","本科","公共服务","准备融资","100-499","商务与工程类",3.29583686600433,3.29583686600433
"62","CFO","东部地区",39,TRUE,"5年以上","本科","金融互联网","已上市","100-499","商务与工程类",3.66356164612965,3.66356164612965
"63","CFO","中部地区",12.6,TRUE,"经验不限","学历不限","媒体教培","不需要融资","100-499","商务与工程类",2.53369681395743,2.53369681395743
"64","CFO","西部地区",27,FALSE,"5年以上","本科","机械制造","未知","100-499","商务与工程类",3.29583686600433,3.29583686600433
"65","CFO","东部地区",15,FALSE,"经验不限","学历不限","金融互联网","准备融资","100以下","商务与工程类",2.70805020110221,2.70805020110221
"66","CFO","东部地区",45,TRUE,"5年以上","研究生","金融互联网","准备融资","100以下","商务与工程类",3.80666248977032,3.80666248977032
"67","CFO","西部地区",42,TRUE,"1-3年","本科","金融互联网","准备融资","100以下","商务与工程类",3.73766961828337,3.73766961828337
"68","CFO","东部地区",78,FALSE,"5年以上","研究生","商业服务","准备融资","500以上","商务与工程类",4.35670882668959,4.35670882668959
"69","CFO","东部地区",180,FALSE,"5年以上","本科","金融互联网","未知","500以上","商务与工程类",5.19295685089021,5.19295685089021
"70","CFO","东部地区",12.6,FALSE,"经验不限","本科","公共服务","未知","100以下","商务与工程类",2.53369681395743,2.53369681395743
"71","CFO","中部地区",24.6,TRUE,"5年以上","本科","金融互联网","不需要融资","100-499","商务与工程类",3.20274644293832,3.20274644293832
"72","CFO","东部地区",11.4,FALSE,"经验不限","学历不限","机械制造","不需要融资","100-499","商务与工程类",2.43361335540045,2.43361335540045
"73","CFO","南部地区",42,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",3.73766961828337,3.73766961828337
"74","CFO","东部地区",12.6,FALSE,"经验不限","学历不限","金融互联网","准备融资","100以下","商务与工程类",2.53369681395743,2.53369681395743
"75","CFO","中部地区",54,TRUE,"3-5年","研究生","商业服务","准备融资","100以下","商务与工程类",3.98898404656427,3.98898404656427
"76","CFO","东部地区",12,FALSE,"3-5年","本科","金融互联网","准备融资","100以下","商务与工程类",2.484906649788,2.484906649788
"77","CFO","东北地区",24,TRUE,"5年以上","大专","商业服务","准备融资","100-499","商务与工程类",3.17805383034795,3.17805383034795
"78","CFO","东部地区",36,TRUE,"5年以上","本科","公共服务","准备融资","100以下","商务与工程类",3.58351893845611,3.58351893845611
"79","CFO","南部地区",180,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",5.19295685089021,5.19295685089021
"80","CFO","西部地区",38.4,TRUE,"5年以上","研究生","金融互联网","准备融资","100-499","商务与工程类",3.64805745959368,3.64805745959368
"81","CFO","中部地区",48,TRUE,"5年以上","本科","公共服务","已上市","500以上","商务与工程类",3.87120101090789,3.87120101090789
"82","CFO","东部地区",78,FALSE,"5年以上","本科","商业服务","未知","500以上","商务与工程类",4.35670882668959,4.35670882668959
"83","CFO","中部地区",27,TRUE,"5年以上","本科","金融互联网","不需要融资","100-499","商务与工程类",3.29583686600433,3.29583686600433
"84","CFO","东北地区",33.15,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",3.50104271663187,3.50104271663187
"85","CFO","东部地区",27,TRUE,"3-5年","本科","媒体教培","不需要融资","100-499","商务与工程类",3.29583686600433,3.29583686600433
"86","CFO","中部地区",75,TRUE,"5年以上","本科","金融互联网","正在融资","500以上","商务与工程类",4.31748811353631,4.31748811353631
"87","CFO","东部地区",102,TRUE,"5年以上","本科","公共服务","已上市","500以上","商务与工程类",4.62497281328427,4.62497281328427
"88","CFO","东部地区",126,FALSE,"1-3年","本科","金融互联网","准备融资","100-499","商务与工程类",4.83628190695148,4.83628190695148
"89","CFO","中部地区",36,FALSE,"1-3年","本科","金融互联网","准备融资","500以上","商务与工程类",3.58351893845611,3.58351893845611
"90","CFO","南部地区",48,TRUE,"5年以上","研究生","机械制造","准备融资","100-499","商务与工程类",3.87120101090789,3.87120101090789
"91","CFO","中部地区",57,TRUE,"5年以上","本科","商业服务","准备融资","100-499","商务与工程类",4.04305126783455,4.04305126783455
"92","CFO","东部地区",33,FALSE,"5年以上","本科","金融互联网","准备融资","100-499","商务与工程类",3.49650756146648,3.49650756146648
"93","CFO","南部地区",168,TRUE,"5年以上","本科","金融互联网","不需要融资","500以上","商务与工程类",5.12396397940326,5.12396397940326
"94","CFO","东部地区",42,TRUE,"3-5年","本科","媒体教培","正在融资","100-499","商务与工程类",3.73766961828337,3.73766961828337
"95","CFO","东部地区",252,TRUE,"5年以上","研究生","金融互联网","准备融资","100以下","商务与工程类",5.52942908751142,5.52942908751142
"96","CFO","东部地区",112.5,TRUE,"5年以上","本科","金融互联网","正在融资","500以上","商务与工程类",4.72295322164447,4.72295322164447
"97","CFO","南部地区",27,TRUE,"5年以上","本科","商业服务","准备融资","100以下","商务与工程类",3.29583686600433,3.29583686600433
"98","CFO","东部地区",42,FALSE,"5年以上","研究生","金融互联网","未知","100以下","商务与工程类",3.73766961828337,3.73766961828337
"99","CFO","东部地区",99,TRUE,"5年以上","本科","金融互联网","不需要融资","500以上","商务与工程类",4.59511985013459,4.59511985013459
"100","CFO","西部地区",39,TRUE,"5年以上","本科","金融互联网","正在融资","100以下","商务与工程类",3.66356164612965,3.66356164612965
"101","CFO","中部地区",30,TRUE,"3-5年","本科","金融互联网","准备融资","100-499","商务与工程类",3.40119738166216,3.40119738166216
"102","CFO","南部地区",26.4,FALSE,"3-5年","本科","金融互联网","未知","100以下","商务与工程类",3.27336401015227,3.27336401015227
"103","CFO","东部地区",90,TRUE,"5年以上","研究生","金融互联网","正在融资","100以下","商务与工程类",4.49980967033027,4.49980967033027
"104","CFO","西部地区",45.5,FALSE,"5年以上","研究生","媒体教培","准备融资","100以下","商务与工程类",3.8177123259569,3.8177123259569
"105","CFO","东部地区",78,TRUE,"5年以上","研究生","金融互联网","正在融资","100-499","商务与工程类",4.35670882668959,4.35670882668959
"106","CFO","东部地区",126,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",4.83628190695148,4.83628190695148
"107","CFO","东部地区",252,FALSE,"5年以上","研究生","金融互联网","未知","100以下","商务与工程类",5.52942908751142,5.52942908751142
"108","CFO","东部地区",78,TRUE,"5年以上","研究生","公共服务","不需要融资","100以下","商务与工程类",4.35670882668959,4.35670882668959
"109","CFO","东部地区",31.8,TRUE,"3-5年","本科","公共服务","准备融资","100以下","商务与工程类",3.45946628978613,3.45946628978613
"110","CFO","东部地区",168,FALSE,"5年以上","研究生","媒体教培","未知","100以下","商务与工程类",5.12396397940326,5.12396397940326
"111","CFO","东部地区",180,TRUE,"5年以上","研究生","金融互联网","准备融资","100以下","商务与工程类",5.19295685089021,5.19295685089021
"112","CFO","南部地区",30,TRUE,"5年以上","本科","机械制造","准备融资","100以下","商务与工程类",3.40119738166216,3.40119738166216
"113","CFO","西部地区",35.4,FALSE,"5年以上","本科","商业服务","未知","100-499","商务与工程类",3.56671182013973,3.56671182013973
"114","CFO","中部地区",25.8,TRUE,"5年以上","本科","公共服务","准备融资","100以下","商务与工程类",3.25037449192757,3.25037449192757
"115","CFO","东部地区",36,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",3.58351893845611,3.58351893845611
"116","CFO","东部地区",48,TRUE,"5年以上","本科","媒体教培","准备融资","100-499","商务与工程类",3.87120101090789,3.87120101090789
"117","CFO","东部地区",10.2,FALSE,"3-5年","本科","公共服务","未知","100以下","商务与工程类",2.32238772029023,2.32238772029023
"118","CFO","中部地区",12.6,FALSE,"经验不限","本科","媒体教培","准备融资","100以下","商务与工程类",2.53369681395743,2.53369681395743
"119","CFO","西部地区",33,TRUE,"5年以上","本科","机械制造","正在融资","100-499","商务与工程类",3.49650756146648,3.49650756146648
"120","CFO","中部地区",10.8,FALSE,"1-3年","本科","商业服务","准备融资","100以下","商务与工程类",2.37954613413017,2.37954613413017
"121","CFO","东部地区",18,FALSE,"5年以上","本科","媒体教培","未知","100-499","商务与工程类",2.89037175789616,2.89037175789616
"122","CFO","东部地区",81,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",4.39444915467244,4.39444915467244
"123","CFO","东部地区",15,FALSE,"5年以上","本科","媒体教培","未知","100以下","商务与工程类",2.70805020110221,2.70805020110221
"124","CFO","南部地区",22.75,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",3.12456514539696,3.12456514539696
"125","CFO","东部地区",45,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",3.80666248977032,3.80666248977032
"126","CFO","东部地区",18.6,TRUE,"3-5年","本科","金融互联网","准备融资","100以下","商务与工程类",2.92316158071916,2.92316158071916
"127","CFO","西部地区",78,TRUE,"5年以上","本科","金融互联网","正在融资","500以上","商务与工程类",4.35670882668959,4.35670882668959
"128","CFO","东部地区",150,TRUE,"经验不限","学历不限","商业服务","正在融资","100以下","商务与工程类",5.01063529409626,5.01063529409626
"129","CFO","东部地区",250,TRUE,"5年以上","研究生","媒体教培","不需要融资","100-499","商务与工程类",5.52146091786225,5.52146091786225
"130","CFO","中部地区",15,FALSE,"5年以上","本科","公共服务","准备融资","100-499","商务与工程类",2.70805020110221,2.70805020110221
"131","CFO","东北地区",75,TRUE,"5年以上","本科","商业服务","准备融资","100以下","商务与工程类",4.31748811353631,4.31748811353631
"132","CFO","南部地区",30,TRUE,"5年以上","本科","商业服务","准备融资","100以下","商务与工程类",3.40119738166216,3.40119738166216
"133","CFO","东部地区",98,TRUE,"5年以上","本科","金融互联网","已上市","100-499","商务与工程类",4.58496747867057,4.58496747867057
"134","CFO","东部地区",175,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",5.16478597392351,5.16478597392351
"135","CFO","东部地区",27,FALSE,"经验不限","学历不限","金融互联网","未知","100以下","商务与工程类",3.29583686600433,3.29583686600433
"136","CFO","西部地区",15,FALSE,"5年以上","本科","金融互联网","正在融资","100以下","商务与工程类",2.70805020110221,2.70805020110221
"137","CFO","东部地区",54,TRUE,"5年以上","研究生","机械制造","准备融资","100以下","商务与工程类",3.98898404656427,3.98898404656427
"138","CFO","南部地区",306,FALSE,"5年以上","研究生","金融互联网","准备融资","100以下","商务与工程类",5.72358510195238,5.72358510195238
"139","CFO","东部地区",78,TRUE,"3-5年","本科","公共服务","正在融资","500以上","商务与工程类",4.35670882668959,4.35670882668959
"140","CFO","东北地区",24.6,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",3.20274644293832,3.20274644293832
"141","CFO","东部地区",39,TRUE,"5年以上","本科","公共服务","不需要融资","500以上","商务与工程类",3.66356164612965,3.66356164612965
"142","CFO","东部地区",9.75,TRUE,"3-5年","本科","商业服务","准备融资","100以下","商务与工程类",2.27726728500976,2.27726728500976
"143","CFO","东部地区",110.5,TRUE,"5年以上","本科","金融互联网","已上市","100-499","商务与工程类",4.70501552095781,4.70501552095781
"144","CFO","西部地区",24.6,FALSE,"3-5年","本科","商业服务","未知","100以下","商务与工程类",3.20274644293832,3.20274644293832
"145","CFO","东部地区",84.5,TRUE,"5年以上","本科","机械制造","不需要融资","500以上","商务与工程类",4.43675153436313,4.43675153436313
"146","CFO","南部地区",45,TRUE,"5年以上","本科","公共服务","准备融资","100-499","商务与工程类",3.80666248977032,3.80666248977032
"147","CFO","东部地区",38.4,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",3.64805745959368,3.64805745959368
"148","CFO","东部地区",180,TRUE,"5年以上","本科","金融互联网","正在融资","500以上","商务与工程类",5.19295685089021,5.19295685089021
"149","CFO","东北地区",21,TRUE,"5年以上","本科","金融互联网","准备融资","100-499","商务与工程类",3.04452243772342,3.04452243772342
"150","CFO","中部地区",48,TRUE,"5年以上","研究生","金融互联网","准备融资","100以下","商务与工程类",3.87120101090789,3.87120101090789
"151","CFO","东部地区",114,FALSE,"5年以上","本科","商业服务","未知","100-499","商务与工程类",4.7361984483945,4.7361984483945
"152","CFO","东部地区",72,FALSE,"5年以上","本科","金融互联网","不需要融资","500以上","商务与工程类",4.27666611901606,4.27666611901606
"153","CFO","东部地区",71.25,TRUE,"5年以上","研究生","金融互联网","已上市","100-499","商务与工程类",4.26619481914876,4.26619481914876
"154","CFO","东部地区",54,TRUE,"5年以上","研究生","金融互联网","正在融资","100-499","商务与工程类",3.98898404656427,3.98898404656427
"155","CFO","东部地区",19.2,FALSE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",2.95491027903374,2.95491027903374
"156","CFO","东部地区",39,TRUE,"5年以上","研究生","金融互联网","不需要融资","100以下","商务与工程类",3.66356164612965,3.66356164612965
"157","CFO","南部地区",162,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",5.08759633523238,5.08759633523238
"158","CFO","东部地区",32.5,FALSE,"5年以上","本科","公共服务","未知","100以下","商务与工程类",3.48124008933569,3.48124008933569
"159","CFO","东部地区",70,TRUE,"5年以上","研究生","金融互联网","正在融资","100-499","商务与工程类",4.24849524204936,4.24849524204936
"160","CFO","东部地区",45,TRUE,"5年以上","本科","金融互联网","正在融资","100以下","商务与工程类",3.80666248977032,3.80666248977032
"161","CFO","东部地区",54,TRUE,"5年以上","本科","商业服务","未知","100-499","商务与工程类",3.98898404656427,3.98898404656427
"162","CFO","东部地区",72,TRUE,"5年以上","研究生","金融互联网","不需要融资","100以下","商务与工程类",4.27666611901606,4.27666611901606
"163","CFO","西部地区",30,FALSE,"5年以上","研究生","商业服务","未知","100以下","商务与工程类",3.40119738166216,3.40119738166216
"164","CFO","西部地区",45.5,TRUE,"3-5年","本科","公共服务","准备融资","100-499","商务与工程类",3.8177123259569,3.8177123259569
"165","CFO","中部地区",12.6,TRUE,"经验不限","本科","公共服务","准备融资","100以下","商务与工程类",2.53369681395743,2.53369681395743
"166","CFO","东部地区",54,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",3.98898404656427,3.98898404656427
"167","CFO","东部地区",96,FALSE,"5年以上","本科","金融互联网","不需要融资","100-499","商务与工程类",4.56434819146784,4.56434819146784
"168","CFO","东部地区",52,TRUE,"1-3年","本科","金融互联网","不需要融资","100-499","商务与工程类",3.95124371858143,3.95124371858143
"169","CFO","西部地区",45,FALSE,"5年以上","研究生","公共服务","未知","100-499","商务与工程类",3.80666248977032,3.80666248977032
"170","CFO","东部地区",30,TRUE,"5年以上","研究生","公共服务","已上市","100-499","商务与工程类",3.40119738166216,3.40119738166216
"171","CFO","中部地区",63,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",4.14313472639153,4.14313472639153
"172","CFO","东部地区",105,TRUE,"3-5年","本科","机械制造","准备融资","100以下","商务与工程类",4.65396035015752,4.65396035015752
"173","CFO","东部地区",54,FALSE,"5年以上","研究生","公共服务","准备融资","100-499","商务与工程类",3.98898404656427,3.98898404656427
"174","CFO","东部地区",24.6,TRUE,"5年以上","研究生","金融互联网","正在融资","100-499","商务与工程类",3.20274644293832,3.20274644293832
"175","CFO","东部地区",52,FALSE,"经验不限","本科","金融互联网","未知","100-499","商务与工程类",3.95124371858143,3.95124371858143
"176","CFO","东部地区",60,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",4.0943445622221,4.0943445622221
"177","CFO","东部地区",24.6,FALSE,"经验不限","研究生","金融互联网","未知","100以下","商务与工程类",3.20274644293832,3.20274644293832
"178","CFO","东部地区",150,TRUE,"5年以上","本科","金融互联网","已上市","500以上","商务与工程类",5.01063529409626,5.01063529409626
"179","CFO","南部地区",78,TRUE,"5年以上","本科","商业服务","准备融资","500以上","商务与工程类",4.35670882668959,4.35670882668959
"180","CFO","东部地区",24.6,FALSE,"1-3年","本科","商业服务","未知","100以下","商务与工程类",3.20274644293832,3.20274644293832
"181","CFO","东部地区",19.2,TRUE,"5年以上","本科","金融互联网","准备融资","100-499","商务与工程类",2.95491027903374,2.95491027903374
"182","CFO","东部地区",36,TRUE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",3.58351893845611,3.58351893845611
"183","CFO","东部地区",72,FALSE,"5年以上","本科","金融互联网","未知","100以下","商务与工程类",4.27666611901606,4.27666611901606
"184","CFO","东部地区",39,TRUE,"5年以上","本科","金融互联网","不需要融资","100以下","商务与工程类",3.66356164612965,3.66356164612965
"185","CFO","南部地区",54,FALSE,"5年以上","本科","金融互联网","准备融资","100以下","商务与工程类",3.98898404656427,3.98898404656427
"186","CFO","东部地区",180,TRUE,"5年以上","本科","公共服务","准备融资","500以上","商务与工程类",5.19295685089021,5.19295685089021
"187","CFO","中部地区",21.6,TRUE,"5年以上","本科","商业服务","准备融资","100-499","商务与工程类",3.07269331469012,3.07269331469012
"188","CFO","西部地区",10.2,TRUE,"3-5年","本科","公共服务","不需要融资","100以下","商务与工程类",2.32238772029023,2.32238772029023
"189","CFO","南部地区",84.5,FALSE,"5年以上","本科","公共服务","未知","100-499","商务与工程类",4.43675153436313,4.43675153436313
"190","CFO","西部地区",36,FALSE,"5年以上","本科","金融互联网","不需要融资","500以上","商务与工程类",3.58351893845611,3.58351893845611
"191","CFO","中部地区",9.6,FALSE,"5年以上","本科","公共服务","不需要融资","100-499","商务与工程类",2.26176309847379,2.26176309847379
"192","CFO","东部地区",60,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",4.0943445622221,4.0943445622221
"193","CFO","东部地区",84.5,TRUE,"5年以上","本科","机械制造","正在融资","100-499","商务与工程类",4.43675153436313,4.43675153436313
"194","CFO","东部地区",57,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",4.04305126783455,4.04305126783455
"195","CFO","西部地区",15,FALSE,"5年以上","本科","金融互联网","不需要融资","100以下","商务与工程类",2.70805020110221,2.70805020110221
"196","CFO","东部地区",45,TRUE,"5年以上","本科","金融互联网","不需要融资","100以下","商务与工程类",3.80666248977032,3.80666248977032
"197","CFO","东部地区",36,TRUE,"5年以上","本科","商业服务","准备融资","100-499","商务与工程类",3.58351893845611,3.58351893845611
"198","CFO","东部地区",68.25,TRUE,"5年以上","本科","金融互联网","正在融资","100-499","商务与工程类",4.22317743406507,4.22317743406507
"199","CFO","西部地区",21,FALSE,"3-5年","大专","商业服务","不需要融资","100以下","商务与工程类",3.04452243772342,3.04452243772342
"200","CFO","东部地区",3.6,FALSE,"经验不限","研究生","金融互联网","不需要融资","100以下","商务与工程类",1.28093384546206,1.28093384546206
"201","CFO","南部地区",22.75,FALSE,"5年以上","大专","媒体教培","未知","100-499","商务与工程类",3.12456514539696,3.12456514539696
"202","CFO","东部地区",6.6,TRUE,"5年以上","大专","公共服务","准备融资","100以下","商务与工程类",1.88706964903238,1.88706964903238
"203","CFO","南部地区",36,TRUE,"5年以上","本科","金融互联网","不需要融资","100-499","商务与工程类",3.58351893845611,3.58351893845611
"204","CFO","东部地区",31.5,TRUE,"1-3年","本科","金融互联网","准备融资","100-499","商务与工程类",3.44998754583159,3.44998754583159
"205","CFO","东北地区",15.6,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",2.74727091425549,2.74727091425549
"206","CFO","南部地区",24,FALSE,"3-5年","本科","商业服务","准备融资","100-499","商务与工程类",3.17805383034795,3.17805383034795
"207","CFO","中部地区",16.2,FALSE,"3-5年","本科","公共服务","不需要融资","500以上","商务与工程类",2.78501124223834,2.78501124223834
"208","CFO","东部地区",9,TRUE,"5年以上","本科","机械制造","准备融资","100以下","商务与工程类",2.19722457733622,2.19722457733622
"209","CFO","南部地区",39,FALSE,"5年以上","本科","商业服务","未知","100以下","商务与工程类",3.66356164612965,3.66356164612965
"210","CFO","中部地区",78,FALSE,"5年以上","本科","商业服务","未知","500以上","商务与工程类",4.35670882668959,4.35670882668959
